entity_type,property,wikidata_count,wikidata_percent,snac_count,snac_percent
Person,count,6670,1.0,2268,1.0
Person,loc_id,436,0.06536731634182909,0,0.0
Person,date_of_birth,250,0.037481259370314844,376,0.1657848324514991
Person,date_of_death,221,0.03313343328335832,326,0.1437389770723104
Person,description,0,0.0,258,0.11375661375661375
Person,place_of_birth,204,0.030584707646176913,0,0.0
Person,place_of_death,164,0.024587706146926538,0,0.0
Person,occupation,251,0.0376311844077961,0,0.0
Person,member_of,145,0.021739130434782608,0,0.0
Person,snac_id,174,0.02608695652173913,0,0.0
Person,employer,84,0.012593703148425787,0,0.0
Person,field_of_work,36,0.005397301349325337,0,0.0
Corporate Body,count,7337,1.0,0,0
Corporate Body,instance_of,662,0.09022761346599427,0,0
Corporate Body,inception,320,0.04361455635818454,0,0
Corporate Body,country,352,0.047976011994003,0,0
Corporate Body,loc_id,436,0.05942483303802644,0,0
Corporate Body,viaf_id,448,0.061060378901458365,0,0
Corporate Body,website,339,0.04620417064195175,0,0
Corporate Body,licensed_to_broadcast_to,162,0.022079869156330926,0,0
Corporate Body,administrative_territory,274,0.03734496388169552,0,0
Corporate Body,member_of,145,0.019762845849802372,0,0
Corporate Body,snac_id,174,0.023715415019762844,0,0
Corporate Body,owned_by,147,0.020035436827041026,0,0
